"genome"	"Relative_abundance"	"Completeness"	"Contamination"	"Kingdom"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"	"Family_genus"	"Family_genus_bin"	"3-Hydroxypropionate bi-cycle"	"Acetyl-CoA pathway, CO2 => acetyl-CoA"	"Citrate cycle (TCA cycle, Krebs cycle)"	"Dicarboxylate-hydroxybutyrate cycle"	"Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate"	"Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate"	"Glyoxylate cycle"	"Hydroxypropionate-hydroxybutylate cycle"	"Methanogenesis, CO2 => methane"	"Pentose phosphate pathway (Pentose phosphate cycle)"	"Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)"	"Reductive citrate cycle (Arnon-Buchanan cycle)"	"Reductive pentose phosphate cycle (Calvin cycle)"	"Complex I: NAD(P)H:quinone oxidoreductase, chloroplasts and cyanobacteria"	"Complex I: NADH dehydrogenase (ubiquinone) 1 alpha subcomplex"	"Complex I: NADH:quinone oxidoreductase, prokaryotes"	"Complex II: Fumarate reductase, prokaryotes"	"Complex II: Succinate dehydrogenase (ubiquinone)"	"Complex II: Succinate dehydrogenase, prokaryotes"	"Complex III: Cytochrome bc1 complex"	"Complex III: Cytochrome bc1 complex respiratory unit"	"Complex III: Cytochrome bd ubiquinol oxidase"	"Complex IV High affinity: Cytochrome bd ubiquinol oxidase"	"Complex IV High affinity: Cytochrome c oxidase, cbb3-type"	"Complex IV Low affinity: Cytochrome aa3-600 menaquinol oxidase"	"Complex IV Low affinity: Cytochrome c oxidase"	"Complex IV Low affinity: Cytochrome c oxidase, prokaryotes"	"Complex IV Low affinity: Cytochrome o ubiquinol oxidase"	"Complex V: F-type ATPase, eukaryotes"	"Complex V: F-type ATPase, prokaryotes and chloroplasts"	"Complex V: V-type ATPase, eukaryotes"	"Complex V: V/A-type ATPase, prokaryotes"	"CAZy: Alpha-galactans"	"CAZy: Alpha-mannan"	"CAZy: Amorphous Cellulose"	"CAZy: Arabinan"	"CAZy: Arabinose cleavage"	"CAZy: Beta-galactan (pectic galactan)"	"CAZy: Beta-mannan"	"CAZy: Chitin"	"CAZy: Crystalline Cellulose"	"CAZy: Fucose Cleavage"	"CAZy: Mixed-Linkage glucans"	"CAZy: Mucin"	"CAZy: Pectin"	"CAZy: Polyphenolics"	"CAZy: Rhamnose cleavage"	"CAZy: Starch"	"CAZy: Sulf-Polysachharides"	"CAZy: Xylans"	"CAZy: Xyloglucan"	"Methanogenesis and methanotrophy: Key functional gene"	"Methanogenesis and methanotrophy: acetate => methane, pt 1"	"Methanogenesis and methanotrophy: acetate => methane, pt 2"	"Methanogenesis and methanotrophy: acetate => methane, pt 3"	"Methanogenesis and methanotrophy: dimethylamine => monomethylamine"	"Methanogenesis and methanotrophy: methane => methanol, with oxygen (mmo)"	"Methanogenesis and methanotrophy: methane => methanol, with oxygen (pmo)"	"Methanogenesis and methanotrophy: methanol => methane"	"Methanogenesis and methanotrophy: monomethylamine => ammonia"	"Methanogenesis and methanotrophy: putative but not defining CO2 => methane"	"Methanogenesis and methanotrophy: trimethylamine => dimethylamine"	"Nitrogen metabolism: Bacterial (aerobic-specific) ammonia oxidation"	"Nitrogen metabolism: Bacterial (anaerobic-specific) ammonia oxidation"	"Nitrogen metabolism: Bacterial/Archaeal ammonia oxidation"	"Nitrogen metabolism: Dissimilatory nitrite reduction to ammonia (DNRA)"	"Nitrogen metabolism: Nitrogen fixation alternative"	"Nitrogen metabolism: ammonia => nitrite"	"Nitrogen metabolism: nitrate => nitrite"	"Nitrogen metabolism: nitric oxide => nitrous oxide"	"Nitrogen metabolism: nitrite => nitric oxide"	"Nitrogen metabolism: nitrite => nitrate"	"Nitrogen metabolism: nitrogen => ammonia"	"Nitrogen metabolism: nitrous oxide => nitrogen"	"Other Reductases: TMAO reductase"	"Other Reductases: arsenate reduction, pt 1"	"Other Reductases: arsenate reduction, pt 2"	"Other Reductases: mercury reduction"	"Other Reductases: selenate/Chlorate reduction"	"Photosynthesis: Photosystem I"	"Photosynthesis: Photosystem II"	"SCFA and alcohol conversions: Alcohol production"	"SCFA and alcohol conversions: Butyrate, pt 1"	"SCFA and alcohol conversions: Butyrate, pt 2"	"SCFA and alcohol conversions: Propionate, pt 1"	"SCFA and alcohol conversions: Propionate, pt 2"	"SCFA and alcohol conversions: acetate, pt 1"	"SCFA and alcohol conversions: acetate, pt 2"	"SCFA and alcohol conversions: acetate, pt 3"	"SCFA and alcohol conversions: lactate D"	"SCFA and alcohol conversions: lactate L"	"SCFA and alcohol conversions: pyruvate => acetyl CoA v1"	"SCFA and alcohol conversions: pyruvate => acetyl CoA v2"	"SCFA and alcohol conversions: pyruvate => acetylCoA f+ formate v3"	"Sulfur metabolism: Thiosulfate oxidation by SOX complex, thiosulfate => sulfate"	"Sulfur metabolism: dissimilatory sulfate reduction (and oxidation) sulfate => sulfide"	"Sulfur metabolism: tetrathionate => thiosulfate"	"Sulfur metabolism: thiosulfate => sulfite"
"NitrifyingCombined_complete.75"	0.0954	96.73	1.47	"d__Bacteria"	"*Chloroflexota*"	"*Anaerolineae*"	"*Anaerolineales*"	"*UBA11579*"	"*JAMCZK01*"	"*JAMCZK01 sp019637805*"	"*UBA11579*, *JAMCZK01*"	"*UBA11579*, *JAMCZK01* (NitrifyingCombined_complete.75)"	0	0	0.875	0.307692307692308	0	0.888888888888889	0.6	0.214285714285714	0.125	0.714285714285714	0.142857142857143	0.6	0.545454545454545	0	0	0.923076923076923	0	0	1	0	0	0	0	0	0	0.0666666666666667	0.5	0	0	0.875	0	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
"NitrifyingCombined_complete.9"	0.2598	93.45	2.8	"d__Bacteria"	"*Chloroflexota*"	"*Dehalococcoidia*"	"*UBA2979*"	"*UBA2979*"	"*W-Chloroflexi-9*"	"**Unidentified species**"	"*UBA2979*, *W-Chloroflexi-9*"	"*UBA2979*, *W-Chloroflexi-9* (NitrifyingCombined_complete.9)"	0.5	0	0.875	0.230769230769231	0	0.666666666666667	0.6	0.214285714285714	0.375	0.714285714285714	0.142857142857143	0.7	0.727272727272727	0	0	0.571428571428571	0	0	0.75	0	0	0	0	0	0	0.133333333333333	1	0	0	1	0	0	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
"NitrifyingCombined_metaMDBG_complete.11"	0.8344	99.98	0.46	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Rhizobiaceae*"	"*Mesorhizobium_A*"	"**Unidentified species**"	"*Rhizobiaceae*, *Mesorhizobium_A*"	"*Rhizobiaceae*, *Mesorhizobium_A* (NitrifyingCombined_metaMDBG_complete.11)"	0	0	1	0.307692307692308	1	0.888888888888889	1	0.142857142857143	0	1	0.428571428571429	0.7	0.818181818181818	0	0.142857142857143	0.928571428571429	0	0	1	0.3	1	0.666666666666667	0.666666666666667	1	0	0.2	1	0	0.0666666666666667	0.75	0	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE
"NitrifyingCombined_metaMDBG_complete.14"	0.14	98.63	0.54	"d__Bacteria"	"*Pseudomonadota*"	"*Gammaproteobacteria*"	"*Burkholderiales*"	"*Burkholderiaceae*"	"*Zeimonas*"	"**Unidentified species**"	"*Burkholderiaceae*, *Zeimonas*"	"*Burkholderiaceae*, *Zeimonas* (NitrifyingCombined_metaMDBG_complete.14)"	0.25	0	1	0.615384615384615	0.5	1	1	0.214285714285714	0	1	0.285714285714286	0.9	0.727272727272727	0	0	1	0	0	1	0.3	1	0.666666666666667	0.666666666666667	1	0	0.2	1	0	0	1	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
"NitrifyingCombined_metaMDBG_complete.15"	0.1311	99.19	0.58	"d__Bacteria"	"*Pseudomonadota*"	"*Gammaproteobacteria*"	"*GCA-2729495*"	"*GCA-2729495*"	"*SHZI01*"	"**Unidentified species**"	"*GCA-2729495*, *SHZI01*"	"*GCA-2729495*, *SHZI01* (NitrifyingCombined_metaMDBG_complete.15)"	0	0	1	0.538461538461538	0.5	0.888888888888889	1	0.214285714285714	0.125	1	0.285714285714286	0.8	0.727272727272727	0	0	0.928571428571429	0	0	1	0.3	1	0	0	1	0	0.2	1	0	0	1	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
"NitrifyingCombined_metaMDBG_complete.16"	0.1513	100	0.24	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Caulobacterales*"	"*TH1-2*"	"*Vitreimonas*"	"**Unidentified species**"	"*TH1-2*, *Vitreimonas*"	"*TH1-2*, *Vitreimonas* (NitrifyingCombined_metaMDBG_complete.16)"	0.5	0	1	0.384615384615385	1	0.777777777777778	0.6	0.142857142857143	0	0.857142857142857	0.142857142857143	0.8	0.636363636363636	0	0.142857142857143	1	0	0	1	0.3	1	0.666666666666667	0.666666666666667	1	0	0.2	1	0	0	0.875	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
"NitrifyingCombined_metaMDBG_complete.27"	0.1498	99.96	0	"d__Bacteria"	"*Pseudomonadota*"	"*Gammaproteobacteria*"	"*Burkholderiales*"	"*Nitrosomonadaceae*"	"*Nitrosomonas*"	"**Unidentified species**"	"*Nitrosomonadaceae*, *Nitrosomonas*"	"*Nitrosomonadaceae*, *Nitrosomonas* (NitrifyingCombined_metaMDBG_complete.27)"	0.25	0	0.875	0.384615384615385	0.5	0.888888888888889	0.4	0.0714285714285714	0	1	0.285714285714286	0.6	0.909090909090909	0	0	1	0	0	1	0.3	1	0	0	0	0	0.2	1	0	0	1	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"NitrifyingCombined_metaMDBG_complete.31"	0.2025	100	1.24	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Reyranellales*"	"*JAQSWP01*"	"*JAQSWP01*"	"**Unidentified species**"	"*JAQSWP01*, *JAQSWP01*"	"*JAQSWP01*, *JAQSWP01* (NitrifyingCombined_metaMDBG_complete.31)"	0.75	0	1	0.384615384615385	0	0.888888888888889	1	0.142857142857143	0	0.714285714285714	0.285714285714286	0.8	0.636363636363636	0	0.142857142857143	0.785714285714286	0	0	1	0.222222222222222	1	0.666666666666667	0.666666666666667	1	0	0.266666666666667	0.666666666666667	0	0.133333333333333	0.625	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
"NitrifyingCombined_metaMDBG_complete.43"	0.524	99.86	0.1	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Hyphomicrobiaceae*"	"*Ga0077530*"	"**Unidentified species**"	"*Hyphomicrobiaceae*, *Ga0077530*"	"*Hyphomicrobiaceae*, *Ga0077530* (NitrifyingCombined_metaMDBG_complete.43)"	0.5	0	1	0.307692307692308	0.25	0.888888888888889	0.8	0.142857142857143	0.125	0.714285714285714	0.428571428571429	0.8	0.818181818181818	0	0.142857142857143	1	1	0	1	0.3	1	0.666666666666667	0.666666666666667	1	0	0.2	1	0	0.0666666666666667	0.875	0	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
"NitrifyingCombined_metaMDBG_complete.45"	0.1445	98.76	0.49	"d__Bacteria"	"*Bdellovibrionota*"	"*Bdellovibrionia*"	"*Bdellovibrionales*"	"*JAMLIO01*"	"*JAMLIO01*"	"**Unidentified species**"	"*JAMLIO01*, *JAMLIO01*"	"*JAMLIO01*, *JAMLIO01* (NitrifyingCombined_metaMDBG_complete.45)"	0	0	0.875	0.384615384615385	0	0.555555555555556	0.6	0.0714285714285714	0	0.571428571428571	0.142857142857143	0.7	0.545454545454545	0	0	0	0	0	0.75	0	0	0	0	0.666666666666667	0	0.133333333333333	0.666666666666667	0	0	0.875	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
"NitrifyingCombined_metaMDBG_complete.55"	1.0364	99.99	0.27	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Parvibaculales*"	"*Parvibaculaceae*"	"*Parvibaculum*"	"**Unidentified species**"	"*Parvibaculaceae*, *Parvibaculum*"	"*Parvibaculaceae*, *Parvibaculum* (NitrifyingCombined_metaMDBG_complete.55)"	0.5	0	1	0.307692307692308	0	0.888888888888889	1	0.142857142857143	0	0.714285714285714	0.285714285714286	0.7	0.818181818181818	0	0.142857142857143	1	0	0.25	0.75	0.222222222222222	1	0	0	1	0	0.2	1	0	0.133333333333333	0.625	0	0	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"NitrifyingCombined_metaMDBG_complete.72"	0.8046	100	0.37	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Caulobacterales*"	"*TH1-2*"	"*Vitreimonas*"	"*Vitreimonas sp024707365*"	"*TH1-2*, *Vitreimonas*"	"*TH1-2*, *Vitreimonas* (NitrifyingCombined_metaMDBG_complete.72)"	0.75	0	1	0.384615384615385	1	0.888888888888889	0.6	0.142857142857143	0	1	0.142857142857143	0.8	0.636363636363636	0	0.142857142857143	0.928571428571429	0	0	1	0.3	1	0.666666666666667	0.666666666666667	1	0	0.2	1	0	0	0.875	0	0	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
"NitrifyingCombined_metaMDBG_complete.75"	0.4751	100	0.05	"d__Bacteria"	"*Pseudomonadota*"	"*Gammaproteobacteria*"	"*Xanthomonadales*"	"*UBA2363*"	"*Pseudofulvimonas*"	"**Unidentified species**"	"*UBA2363*, *Pseudofulvimonas*"	"*UBA2363*, *Pseudofulvimonas* (NitrifyingCombined_metaMDBG_complete.75)"	0	0	1	0.461538461538462	1	0.888888888888889	1	0.0714285714285714	0	0.714285714285714	0.285714285714286	0.8	0.727272727272727	0	0	1	0	0.25	0.75	0.3	1	0	0	1	0	0.2	1	1	0	1	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
"NitrifyingCombined_metaMDBG_complete.85"	0.1877	99.9	0.1	"d__Bacteria"	"*Pseudomonadota*"	"*Alphaproteobacteria*"	"*Rhizobiales*"	"*Rhizobiaceae*"	"*RCIO01*"	"**Unidentified species**"	"*Rhizobiaceae*, *RCIO01*"	"*Rhizobiaceae*, *RCIO01* (NitrifyingCombined_metaMDBG_complete.85)"	0	0	1	0.307692307692308	1	1	1	0.142857142857143	0	1	0.428571428571429	0.7	0.818181818181818	0	0.142857142857143	1	0	0	1	0.3	1	0.666666666666667	0.666666666666667	1	0	0.2	1	0	0.0666666666666667	0.75	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"NitrifyingCombined_metaMDBG_metabat2.33"	0.0911	98.81	1.6	"d__Bacteria"	"*Gemmatimonadota*"	"*Gemmatimonadetes*"	"*Longimicrobiales*"	"*RSA9*"	"**Unidentified genus**"	"**Unidentified species**"	"*RSA9*, **Unidentified genus**"	"*RSA9*, **Unidentified genus** (NitrifyingCombined_metaMDBG_metabat2.33)"	0	0	1	0.461538461538462	0	0.777777777777778	0.6	0.214285714285714	0	0.714285714285714	0.285714285714286	0.8	0.727272727272727	0	0	0.714285714285714	0	0	0.75	0	0	0	0	0.75	0	0.133333333333333	1	0	0	1	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
"NitrifyingCombined_metaMDBG_metabat2.5"	0.1376	95.66	2.12	"d__Bacteria"	"*Bacteroidota*"	"*Bacteroidia*"	"*Sphingobacteriales*"	"*Sphingobacteriaceae*"	"*Parapedobacter*"	"**Unidentified species**"	"*Sphingobacteriaceae*, *Parapedobacter*"	"*Sphingobacteriaceae*, *Parapedobacter* (NitrifyingCombined_metaMDBG_metabat2.5)"	0	0	1	0.307692307692308	0.75	1	0.4	0.0714285714285714	0.125	0.857142857142857	0.285714285714286	0.6	0.727272727272727	0	0	0.928571428571429	0	0	0.75	0	0	0.666666666666667	0.666666666666667	0.666666666666667	0	0.133333333333333	0.666666666666667	0	0	0.875	0	0	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
"NitrifyingCombined_metaMDBG_metabat2.68"	0.146	90.39	1.47	"d__Bacteria"	"*Eremiobacterota*"	"*Xenobia*"	"*Xenobiales*"	"*JADMJV01*"	"*JAEXNA01*"	"**Unidentified species**"	"*JADMJV01*, *JAEXNA01*"	"*JADMJV01*, *JAEXNA01* (NitrifyingCombined_metaMDBG_metabat2.68)"	0	0	0.875	0.384615384615385	0.5	0.888888888888889	0.6	0.0714285714285714	0.25	1	0	0.8	0.545454545454545	0	0	0.785714285714286	0	0	0.75	0	0	0	0	0.75	0	0.0666666666666667	1	0	0	0.875	0	0	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	FALSE	FALSE	FALSE
